country,firm,sector,revenue,year,risk
Germany,Infineon,Industries,41.66,2021,-0.5735003931019282
Germany,Infineon,Industries,41.66,2022,-0.3431159186719469
Germany,Infineon,Industries,41.66,2023,-0.3391877867632135
Germany,Mercedes-Benz,Industries,68.14,2014,-0.727596532639981
Germany,Mercedes-Benz,Industries,68.14,2014,-0.7665600084731243
Germany,Mercedes-Benz,Industries,68.14,2015,-0.9147702942824683
Germany,Mercedes-Benz,Industries,68.14,2015,-0.8183073015083228
Germany,Mercedes-Benz,Industries,68.14,2016,-0.9973698014801667
Germany,Mercedes-Benz,Industries,68.14,2016,-1.0377247232812679
Germany,Mercedes-Benz,Industries,68.14,2017,-0.8079962891398639
Germany,Mercedes-Benz,Industries,68.14,2017,-0.8030901898086872
Germany,Mercedes-Benz,Industries,68.14,2018,-0.9149006081109192
Germany,Mercedes-Benz,Industries,68.14,2018,-1.1098596808012327
Germany,Mercedes-Benz,Industries,68.14,2019,-0.5364208407501687
Germany,Mercedes-Benz,Industries,68.14,2019,-0.674431795727826
Germany,Mercedes-Benz,Industries,68.14,2020,-0.7271188723454917
Germany,Mercedes-Benz,Industries,68.14,2020,-0.6881350067492625
Germany,Mercedes-Benz,Industries,68.14,2022,-0.658733297376075
Germany,Mercedes-Benz,Industries,68.14,2022,-0.5835233733037719
Germany,Mercedes-Benz,Industries,68.14,2023,-0.5096412929283222
Germany,Mercedes-Benz,Industries,68.14,2023,-0.4872791432824336
Germany,Merck,Health Care,78.9,2014,-0.7350706160640784
Germany,Merck,Health Care,78.9,2015,-0.4615331327555275
Germany,Merck,Health Care,78.9,2016,-0.9940763265451947
Germany,Merck,Health Care,78.9,2017,-0.5499469864236968
Germany,Merck,Health Care,78.9,2018,-1.159844937512474
Germany,Merck,Health Care,78.9,2019,-0.6783038380358254
Germany,Merck,Health Care,78.9,2020,-0.7268646736977636
Germany,Merck,Health Care,78.9,2021,-1.0537495514079913
Germany,Merck,Health Care,78.9,2023,-0.4996249894982315
Germany,Munich RE,Financial Service,63.39,2014,-0.6517010843096555
Germany,Munich RE,Financial Service,63.39,2015,-0.790813889425699
Germany,Munich RE,Financial Service,63.39,2016,-0.6705227992969534
Germany,Munich RE,Financial Service,63.39,2017,-0.7058996900004127
Germany,Munich RE,Financial Service,63.39,2018,-0.5221861811332414
Germany,Munich RE,Financial Service,63.39,2019,-0.5856889629785771
Germany,Munich RE,Financial Service,63.39,2020,-0.52671288925026
Germany,Munich RE,Financial Service,63.39,2021,-0.626196663715884
Germany,Munich RE,Financial Service,63.39,2022,-0.5845425023646261
Germany,Munich RE,Financial Service,63.39,2023,-0.6653582425692566
Germany,ON,Energy,38.46,2014,-0.021075208833387007
Germany,ON,Energy,38.46,2015,0.1211714881877688
Germany,ON,Energy,38.46,2016,1.128639328198865
Germany,ON,Energy,38.46,2017,-0.5164304601357432
Germany,ON,Energy,38.46,2018,0.0965141068907116
Germany,ON,Energy,38.46,2019,-0.917955363671601
Germany,ON,Energy,38.46,2020,-0.28867489675247493
Germany,ON,Energy,38.46,2021,1.1520821479109586
Germany,ON,Energy,38.46,2022,-0.4566853472806869
Germany,ON,Energy,38.46,2023,-0.3858265161620801
Germany,Porsche,Industries,67.4,2014,-0.6194949533801857
Germany,Porsche,Industries,67.4,2015,-0.20592355451478278
Germany,Porsche,Industries,67.4,2016,-0.5776429325541621
Germany,Porsche,Industries,67.4,2017,-0.305064052158553
Germany,Porsche,Industries,67.4,2018,-0.5387955788932922
Germany,Porsche,Industries,67.4,2019,-0.29383935363078817
Germany,Porsche,Industries,67.4,2020,-0.3139544447142049
Germany,Porsche,Industries,67.4,2021,0.1550643534335253
Germany,Porsche,Industries,67.4,2022,-0.3987079108674632
Germany,Porsche,Industries,67.4,2023,-0.38484150908712317
Germany,SAP,Information Technology,240.94,2014,-0.6320935157583529
Germany,SAP,Information Technology,240.94,2015,-0.5504634670886223
Germany,SAP,Information Technology,240.94,2016,-0.5287364925408802
Germany,SAP,Information Technology,240.94,2017,-0.617318168283234
Germany,SAP,Information Technology,240.94,2018,-0.7260583846268384
Germany,SAP,Information Technology,240.94,2019,-0.6205275706410183
Germany,SAP,Information Technology,240.94,2020,-0.623789016964055
Germany,SAP,Information Technology,240.94,2021,-0.5500123537735748
Germany,SAP,Information Technology,240.94,2022,-0.5702098807221969
Germany,SAP,Information Technology,240.94,2023,-0.6489171647856717
Germany,Siemens,Industries,135.42,2014,0.0894689112012452
Germany,Siemens,Industries,135.42,2015,0.054707124511810076
Germany,Siemens,Industries,135.42,2016,-0.09702602586811906
Germany,Siemens,Industries,135.42,2017,0.07769379758761251
Germany,Siemens,Industries,135.42,2018,-0.097826511479658
Germany,Siemens,Industries,135.42,2019,-0.09564961108443931
Germany,Siemens,Industries,135.42,2020,0.18483169417323994
Germany,Siemens,Industries,135.42,2021,-0.22659138683240274
Germany,Siemens,Industries,135.42,2022,0.131018112102128
Germany,Siemens,Industries,135.42,2023,-0.06703590271511943
Germany,Siemens Healthineers,Health Care,58.91,2014,0.4508359819468792
Germany,Siemens Healthineers,Health Care,58.91,2016,-0.0700222151624312
Germany,Siemens Healthineers,Health Care,58.91,2018,-0.2053977215070164
Germany,Siemens Healthineers,Health Care,58.91,2019,1.021276498854383
Germany,Siemens Healthineers,Health Care,58.91,2020,0.19188273781137277
Germany,Siemens Healthineers,Health Care,58.91,2021,0.2855047173554856
Germany,Siemens Healthineers,Health Care,58.91,2022,0.34169625235995954
Germany,Siemens Healthineers,Health Care,58.91,2023,0.12017679487516764
India,Axis Bank,Financial Service,42.72,2014,-1.2121159159716322
India,Axis Bank,Financial Service,42.72,2015,-2.765820779908486
India,Axis Bank,Financial Service,42.72,2016,-1.1458161724886733
India,Axis Bank,Financial Service,42.72,2017,-1.0854614045586448
India,Axis Bank,Financial Service,42.72,2018,-1.3058469556844423
India,Axis Bank,Financial Service,42.72,2019,-1.0745295329601408
India,Axis Bank,Financial Service,42.72,2020,-1.2494195268372212
India,Axis Bank,Financial Service,42.72,2021,-1.1456392604471686
India,Axis Bank,Financial Service,42.72,2022,-1.1874043422668403
India,Axis Bank,Financial Service,42.72,2023,-1.2795012491138729
India,Bajaj Finance,Financial Service,53.94,2014,-0.7840960867588108
India,Bajaj Finance,Financial Service,53.94,2015,-0.9695911978396793
India,Bajaj Finance,Financial Service,53.94,2016,-0.8136669900135666
India,Bajaj Finance,Financial Service,53.94,2017,-1.0326363210271583
India,Bajaj Finance,Financial Service,53.94,2018,-0.9358400280000219
India,Bajaj Finance,Financial Service,53.94,2019,-0.9608251671525482
India,Bajaj Finance,Financial Service,53.94,2020,-0.8023363689755957
India,Bajaj Finance,Financial Service,53.94,2022,-1.0172848865164463
India,Bajaj Finance,Financial Service,53.94,2023,-1.0040225299082577
India,Bharti Airtel,Communication Services,107.39,2014,-1.024543997140508
India,Bharti Airtel,Communication Services,107.39,2015,-0.9909900787914689
India,Bharti Airtel,Communication Services,107.39,2016,-1.3763314127484727
India,Bharti Airtel,Communication Services,107.39,2017,-0.7808288591019744
India,Bharti Airtel,Communication Services,107.39,2018,-1.0463396631175708
India,Bharti Airtel,Communication Services,107.39,2019,-0.9298069551885159
India,Bharti Airtel,Communication Services,107.39,2020,-0.9450209859036645
India,Bharti Airtel,Communication Services,107.39,2021,-1.0129267802726094
India,Bharti Airtel,Communication Services,107.39,2023,-1.1213214890859389
India,HDFC Bank,Financial Service,152.34,2014,-0.9395380868189191
India,HDFC Bank,Financial Service,152.34,2015,-1.0914322988446208
India,HDFC Bank,Financial Service,152.34,2016,-1.0393392490433642
India,HDFC Bank,Financial Service,152.34,2017,-0.9520825547530875
India,HDFC Bank,Financial Service,152.34,2018,-1.0115331769810707
India,HDFC Bank,Financial Service,152.34,2019,-1.056086993456003
India,HDFC Bank,Financial Service,152.34,2020,-1.1114635862600593
India,HDFC Bank,Financial Service,152.34,2021,-1.2101633306586506
India,HDFC Bank,Financial Service,152.34,2022,-0.7765887016399428
India,HDFC Bank,Financial Service,152.34,2023,-1.0320929602179405
India,Hindustan Unilever,Consumer Staples,76.16,2015,-0.860139663539365
India,Hindustan Unilever,Consumer Staples,76.16,2016,-1.0362931780829705
India,Hindustan Unilever,Consumer Staples,76.16,2017,-0.879299471529142
India,Hindustan Unilever,Consumer Staples,76.16,2018,-0.998691294568974
India,Hindustan Unilever,Consumer Staples,76.16,2021,-0.70792492832802
India,Hindustan Unilever,Consumer Staples,76.16,2023,-1.0493826159016695
India,ICICI Bank,Financial Service,99.33,2014,-1.1477966986568495
India,ICICI Bank,Financial Service,99.33,2015,-1.0559438018348895
India,ICICI Bank,Financial Service,99.33,2016,-1.1445875700486958
India,ICICI Bank,Financial Service,99.33,2017,-1.3193572349501703
India,ICICI Bank,Financial Service,99.33,2018,-0.7901339141624022
India,ICICI Bank,Financial Service,99.33,2019,-1.2266181942050596
India,ICICI Bank,Financial Service,99.33,2020,-1.2313112416936565
India,ICICI Bank,Financial Service,99.33,2021,-1.2542042599766496
India,ICICI Bank,Financial Service,99.33,2022,-1.124351435053937
India,ICICI Bank,Financial Service,99.33,2023,-1.2348222747056257
India,ITC,Consumer Staples,73.68,2014,-0.9514967483993134
India,ITC,Consumer Staples,73.68,2015,-1.0456241568025277
India,ITC,Consumer Staples,73.68,2016,-1.0699806032057047
India,ITC,Consumer Staples,73.68,2017,-1.0170341195948887
India,ITC,Consumer Staples,73.68,2018,-1.0191009069486292
India,ITC,Consumer Staples,73.68,2019,-0.9968355454243291
India,ITC,Consumer Staples,73.68,2020,-1.0046369742784684
India,ITC,Consumer Staples,73.68,2021,-0.5714944998139025
India,ITC,Consumer Staples,73.68,2022,-0.927171569267029
India,ITC,Consumer Staples,73.68,2023,-0.7948825984896601
India,Infosys,Information Technology,90.16,2015,-0.665001544782723
India,Infosys,Information Technology,90.16,2016,-0.8706844949802116
India,Infosys,Information Technology,90.16,2017,-0.7812261448155358
India,Infosys,Information Technology,90.16,2018,-0.702130509353409
India,Infosys,Information Technology,90.16,2019,-0.5851634983272249
India,Infosys,Information Technology,90.16,2021,-0.4420877895858953
India,Infosys,Information Technology,90.16,2023,-0.6003766206021384
India,Kotak Mahindra Bank,Financial Service,41.8,2015,-0.7073440622800523
India,Kotak Mahindra Bank,Financial Service,41.8,2016,-0.880051103796222
India,Kotak Mahindra Bank,Financial Service,41.8,2017,-0.7570822420186532
