country,firm,sector,revenue,year,risk
Germany,BMW,Industries,55.03,2020,-0.6048905066212334
Germany,BMW,Industries,55.03,2021,-0.18708871856177217
Germany,BMW,Industries,55.03,2022,-0.275456069821659
Germany,BMW,Industries,55.03,2023,-0.3523045386567658
Germany,Beiersdorf,Consumer Staples,32.13,2014,-0.230885494468092
Germany,Beiersdorf,Consumer Staples,32.13,2015,-0.3824467418764007
Germany,Beiersdorf,Consumer Staples,32.13,2016,-0.7928858508686443
Germany,Beiersdorf,Consumer Staples,32.13,2017,-1.039170481534412
Germany,Beiersdorf,Consumer Staples,32.13,2019,-0.988867009427128
Germany,Beiersdorf,Consumer Staples,32.13,2020,-0.6215567577105683
Germany,Beiersdorf,Consumer Staples,32.13,2021,-0.7738731380109736
Germany,Beiersdorf,Consumer Staples,32.13,2022,-0.4532260889588195
Germany,Beiersdorf,Consumer Staples,32.13,2023,-1.0921396301352675
Germany,DHL Group,Industries,49.82,2014,0.01638493716111531
Germany,DHL Group,Industries,49.82,2015,0.8219538482916892
Germany,DHL Group,Industries,49.82,2017,0.08642339313556137
Germany,DHL Group,Industries,49.82,2018,-0.013532074159225638
Germany,DHL Group,Industries,49.82,2019,0.6640370796828402
Germany,DHL Group,Industries,49.82,2020,0.6447149587682958
Germany,DHL Group,Industries,49.82,2021,-1.082875170147608
Germany,DHL Group,Industries,49.82,2022,0.270385538721408
Germany,DHL Group,Industries,49.82,2023,0.08625805098466317
Germany,Deutsche Börse,Financial Service,41.91,2015,0.015776773577452538
Germany,Deutsche Börse,Financial Service,41.91,2017,0.38970192039505935
Germany,Deutsche Börse,Financial Service,41.91,2018,0.12781440718234624
Germany,Deutsche Börse,Financial Service,41.91,2019,0.0384105078207788
Germany,Deutsche Börse,Financial Service,41.91,2020,0.3841064293315121
Germany,Deutsche Börse,Financial Service,41.91,2021,0.04358337883019636
Germany,Deutsche Börse,Financial Service,41.91,2023,-0.27397492316790234
Germany,Hannover Rück,Financial Service,33.67,2014,0.7640382628347897
Germany,Hannover Rück,Financial Service,33.67,2015,0.2691691396134635
Germany,Hannover Rück,Financial Service,33.67,2017,0.8988126844896042
Germany,Hannover Rück,Financial Service,33.67,2019,0.7858129461232475
Germany,Hannover Rück,Financial Service,33.67,2020,0.21580472713249704
Germany,Hannover Rück,Financial Service,33.67,2022,0.9240475498809116
Germany,Hannover Rück,Financial Service,33.67,2023,0.9647094792551218
Germany,Henkel,Consumer Staples,35.64,2014,-0.12118869758580633
Germany,Henkel,Consumer Staples,35.64,2015,0.28893646475715357
Germany,Henkel,Consumer Staples,35.64,2017,-0.39189008549608895
Germany,Henkel,Consumer Staples,35.64,2018,1.3888790709052434
Germany,Henkel,Consumer Staples,35.64,2019,0.13305745393542776
Germany,Henkel,Consumer Staples,35.64,2020,-0.2660622949136632
Germany,Henkel,Consumer Staples,35.64,2021,-0.3454977955510189
Germany,Henkel,Consumer Staples,35.64,2023,-0.2539322415501617
Germany,Infineon,Industries,41.66,2014,0.06715383277785218
Germany,Infineon,Industries,41.66,2015,0.33007375660367055
Germany,Infineon,Industries,41.66,2016,-0.107553712635705
Germany,Infineon,Industries,41.66,2017,0.1824391061154219
Germany,Infineon,Industries,41.66,2018,0.22461250781586434
Germany,Infineon,Industries,41.66,2019,0.27928828759488306
Germany,Infineon,Industries,41.66,2020,0.23246945300804508
Germany,Infineon,Industries,41.66,2021,0.3158244376061472
Germany,Infineon,Industries,41.66,2022,0.18115278173765856
Germany,Infineon,Industries,41.66,2023,0.10771563986032004
Germany,Mercedes-Benz,Industries,68.14,2014,-0.4278297997837041
Germany,Mercedes-Benz,Industries,68.14,2014,-0.26435864139996434
Germany,Mercedes-Benz,Industries,68.14,2015,-0.6031228918106036
Germany,Mercedes-Benz,Industries,68.14,2015,-0.13849543966721714
Germany,Mercedes-Benz,Industries,68.14,2016,-0.9973698014801667
Germany,Mercedes-Benz,Industries,68.14,2016,-1.0377247232812679
Germany,Mercedes-Benz,Industries,68.14,2017,-0.5372471835523996
Germany,Mercedes-Benz,Industries,68.14,2017,-0.5290368112551022
Germany,Mercedes-Benz,Industries,68.14,2018,-0.31052103409756576
Germany,Mercedes-Benz,Industries,68.14,2018,-0.5359319849327047
Germany,Mercedes-Benz,Industries,68.14,2019,-0.3528266925462246
Germany,Mercedes-Benz,Industries,68.14,2019,-0.38820223930800807
Germany,Mercedes-Benz,Industries,68.14,2020,-0.5294104192854965
Germany,Mercedes-Benz,Industries,68.14,2020,-0.4860807824756195
Germany,Mercedes-Benz,Industries,68.14,2022,-0.32800414933153244
Germany,Mercedes-Benz,Industries,68.14,2022,-0.29587646652421495
Germany,Mercedes-Benz,Industries,68.14,2023,-0.3282173545125261
Germany,Mercedes-Benz,Industries,68.14,2023,-0.2872578045401865
Germany,Merck,Health Care,78.9,2014,-0.6079365348620956
Germany,Merck,Health Care,78.9,2015,-0.26380577381014064
Germany,Merck,Health Care,78.9,2016,-0.5904687276440859
Germany,Merck,Health Care,78.9,2017,-0.3950905393289536
Germany,Merck,Health Care,78.9,2018,-1.159844937512474
Germany,Merck,Health Care,78.9,2019,-0.24019093362519212
Germany,Merck,Health Care,78.9,2020,-0.39967673884214466
Germany,Merck,Health Care,78.9,2021,-1.0537495514079913
Germany,Merck,Health Care,78.9,2023,-0.14929026588184297
Germany,Munich RE,Financial Service,63.39,2014,0.024897987176807995
Germany,Munich RE,Financial Service,63.39,2015,-0.04839489343014511
Germany,Munich RE,Financial Service,63.39,2016,0.27799760420923353
Germany,Munich RE,Financial Service,63.39,2017,0.03695481215272877
Germany,Munich RE,Financial Service,63.39,2018,0.32080513971647034
Germany,Munich RE,Financial Service,63.39,2019,-0.058211589462715735
Germany,Munich RE,Financial Service,63.39,2020,0.256937404083683
Germany,Munich RE,Financial Service,63.39,2021,0.06425140479973637
Germany,Munich RE,Financial Service,63.39,2022,0.15731484092539252
Germany,Munich RE,Financial Service,63.39,2023,-0.12787396658754244
Germany,ON,Energy,38.46,2014,-0.021075208833387007
Germany,ON,Energy,38.46,2015,-0.8930521858819933
Germany,ON,Energy,38.46,2016,1.128639328198865
Germany,ON,Energy,38.46,2017,-0.5389126154047668
Germany,ON,Energy,38.46,2018,0.0965141068907116
Germany,ON,Energy,38.46,2019,0.6985431181338153
Germany,ON,Energy,38.46,2020,0.15620852736308644
Germany,ON,Energy,38.46,2021,1.1520821479109586
Germany,ON,Energy,38.46,2022,0.005661205819242275
Germany,ON,Energy,38.46,2023,-0.41414605585221903
Germany,Porsche,Industries,67.4,2014,-0.42277466491308774
Germany,Porsche,Industries,67.4,2015,-0.40048859689806515
Germany,Porsche,Industries,67.4,2016,-0.981488953399009
Germany,Porsche,Industries,67.4,2017,-0.4693090399944342
Germany,Porsche,Industries,67.4,2018,-0.8752198299422039
Germany,Porsche,Industries,67.4,2019,-0.3998826665195829
Germany,Porsche,Industries,67.4,2020,-0.36279859599520825
Germany,Porsche,Industries,67.4,2021,-0.30982993668420433
Germany,Porsche,Industries,67.4,2022,-0.5122072317240939
Germany,Porsche,Industries,67.4,2023,-0.29501874114307963
Germany,SAP,Information Technology,240.94,2014,-0.09077792008008582
Germany,SAP,Information Technology,240.94,2015,-0.08781096502037092
Germany,SAP,Information Technology,240.94,2016,0.11114355605934895
Germany,SAP,Information Technology,240.94,2017,-0.171775428145239
Germany,SAP,Information Technology,240.94,2018,-0.14115809757682832
Germany,SAP,Information Technology,240.94,2019,-0.009363209879264702
Germany,SAP,Information Technology,240.94,2020,-0.07812586209037883
Germany,SAP,Information Technology,240.94,2021,-0.09482381757639052
Germany,SAP,Information Technology,240.94,2022,-0.038166964718615776
Germany,SAP,Information Technology,240.94,2023,-0.09496597224357096
Germany,Siemens,Industries,135.42,2014,0.08977917915451623
Germany,Siemens,Industries,135.42,2015,0.3069754316960176
Germany,Siemens,Industries,135.42,2016,-0.2067655493842988
Germany,Siemens,Industries,135.42,2017,0.1986706077953322
Germany,Siemens,Industries,135.42,2018,-0.05604819704332803
Germany,Siemens,Industries,135.42,2019,0.09166608853167525
Germany,Siemens,Industries,135.42,2020,0.11539841680962258
Germany,Siemens,Industries,135.42,2021,-0.22659138683240274
Germany,Siemens,Industries,135.42,2022,0.16110857081423732
Germany,Siemens,Industries,135.42,2023,0.1502048027029272
Germany,Siemens Healthineers,Health Care,58.91,2014,0.8160598889986607
Germany,Siemens Healthineers,Health Care,58.91,2016,0.3980344809438988
Germany,Siemens Healthineers,Health Care,58.91,2018,0.4247648588716404
Germany,Siemens Healthineers,Health Care,58.91,2019,1.021276498854383
Germany,Siemens Healthineers,Health Care,58.91,2020,0.694303035700263
Germany,Siemens Healthineers,Health Care,58.91,2021,0.13093350728875922
Germany,Siemens Healthineers,Health Care,58.91,2022,0.5476825970364803
Germany,Siemens Healthineers,Health Care,58.91,2023,0.4335490357112993
India,Axis Bank,Financial Service,42.72,2014,-0.8187332951854018
India,Axis Bank,Financial Service,42.72,2015,-0.6836351156877569
India,Axis Bank,Financial Service,42.72,2016,-0.6352345405608628
India,Axis Bank,Financial Service,42.72,2017,-0.649002702682155
India,Axis Bank,Financial Service,42.72,2018,-1.066871895406481
India,Axis Bank,Financial Service,42.72,2019,-0.8190815512885088
India,Axis Bank,Financial Service,42.72,2020,-0.7707980493732679
India,Axis Bank,Financial Service,42.72,2021,-0.8603061389130991
India,Axis Bank,Financial Service,42.72,2022,-0.8815903204789315
India,Axis Bank,Financial Service,42.72,2023,-1.174062417781557
India,Bajaj Finance,Financial Service,53.94,2014,-0.5509145866430222
India,Bajaj Finance,Financial Service,53.94,2015,0.0357993204660689
